# id;timestamp;commentText;codeText;commentWords;codeWords
CollectionUtils -> public static boolean contains(Enumeration enumeration, Object element);1328020251;Check whether the given Enumeration contains the given element._@param enumeration the Enumeration to check_@param element the element to look for_@return <code>true</code> if found, <code>false</code> else;public static boolean contains(Enumeration enumeration, Object element) {_		if (enumeration != null) {_			while (enumeration.hasMoreElements()) {_				Object candidate = enumeration.nextElement()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,enumeration,contains,the,given,element,param,enumeration,the,enumeration,to,check,param,element,the,element,to,look,for,return,code,true,code,if,found,code,false,code,else;public,static,boolean,contains,enumeration,enumeration,object,element,if,enumeration,null,while,enumeration,has,more,elements,object,candidate,enumeration,next,element,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static boolean contains(@Nullable Enumeration<?> enumeration, Object element);1500448076;Check whether the given Enumeration contains the given element._@param enumeration the Enumeration to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean contains(@Nullable Enumeration<?> enumeration, Object element) {_		if (enumeration != null) {_			while (enumeration.hasMoreElements()) {_				Object candidate = enumeration.nextElement()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,enumeration,contains,the,given,element,param,enumeration,the,enumeration,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,nullable,enumeration,enumeration,object,element,if,enumeration,null,while,enumeration,has,more,elements,object,candidate,enumeration,next,element,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static boolean contains(@Nullable Enumeration<?> enumeration, Object element);1502974979;Check whether the given Enumeration contains the given element._@param enumeration the Enumeration to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean contains(@Nullable Enumeration<?> enumeration, Object element) {_		if (enumeration != null) {_			while (enumeration.hasMoreElements()) {_				Object candidate = enumeration.nextElement()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,enumeration,contains,the,given,element,param,enumeration,the,enumeration,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,nullable,enumeration,enumeration,object,element,if,enumeration,null,while,enumeration,has,more,elements,object,candidate,enumeration,next,element,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static boolean contains(@Nullable Enumeration<?> enumeration, Object element);1515777832;Check whether the given Enumeration contains the given element._@param enumeration the Enumeration to check_@param element the element to look for_@return {@code true} if found, {@code false} else;public static boolean contains(@Nullable Enumeration<?> enumeration, Object element) {_		if (enumeration != null) {_			while (enumeration.hasMoreElements()) {_				Object candidate = enumeration.nextElement()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,enumeration,contains,the,given,element,param,enumeration,the,enumeration,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,else;public,static,boolean,contains,nullable,enumeration,enumeration,object,element,if,enumeration,null,while,enumeration,has,more,elements,object,candidate,enumeration,next,element,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static boolean contains(@Nullable Enumeration<?> enumeration, Object element);1528737477;Check whether the given Enumeration contains the given element._@param enumeration the Enumeration to check_@param element the element to look for_@return {@code true} if found, {@code false} otherwise;public static boolean contains(@Nullable Enumeration<?> enumeration, Object element) {_		if (enumeration != null) {_			while (enumeration.hasMoreElements()) {_				Object candidate = enumeration.nextElement()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,enumeration,contains,the,given,element,param,enumeration,the,enumeration,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,otherwise;public,static,boolean,contains,nullable,enumeration,enumeration,object,element,if,enumeration,null,while,enumeration,has,more,elements,object,candidate,enumeration,next,element,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static boolean contains(@Nullable Enumeration<?> enumeration, Object element);1530174524;Check whether the given Enumeration contains the given element._@param enumeration the Enumeration to check_@param element the element to look for_@return {@code true} if found, {@code false} otherwise;public static boolean contains(@Nullable Enumeration<?> enumeration, Object element) {_		if (enumeration != null) {_			while (enumeration.hasMoreElements()) {_				Object candidate = enumeration.nextElement()__				if (ObjectUtils.nullSafeEquals(candidate, element)) {_					return true__				}_			}_		}_		return false__	};check,whether,the,given,enumeration,contains,the,given,element,param,enumeration,the,enumeration,to,check,param,element,the,element,to,look,for,return,code,true,if,found,code,false,otherwise;public,static,boolean,contains,nullable,enumeration,enumeration,object,element,if,enumeration,null,while,enumeration,has,more,elements,object,candidate,enumeration,next,element,if,object,utils,null,safe,equals,candidate,element,return,true,return,false
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1328020251;Adapts a {@code Map<K, List<V>>} to an {@code MultiValueMap<K,V>}.__@param map the map_@return the multi-value map;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<K, V>(map)___	};adapts,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,map,return,the,multi,value,map;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,k,v,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1356735495;Adapts a {@code Map<K, List<V>>} to an {@code MultiValueMap<K,V>}.__@param map the map_@return the multi-value map;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<K, V>(map)___	};adapts,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,map,return,the,multi,value,map;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,k,v,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1357119239;Adapts a {@code Map<K, List<V>>} to an {@code MultiValueMap<K,V>}.__@param map the map_@return the multi-value map;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<K, V>(map)___	};adapts,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,map,return,the,multi,value,map;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,k,v,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1368482696;Adapts a {@code Map<K, List<V>>} to an {@code MultiValueMap<K,V>}.__@param map the map_@return the multi-value map;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<K, V>(map)___	};adapts,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,map,return,the,multi,value,map;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,k,v,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1385412762;Adapts a {@code Map<K, List<V>>} to an {@code MultiValueMap<K,V>}.__@param map the map_@return the multi-value map;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<K, V>(map)___	};adapts,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,map,return,the,multi,value,map;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,k,v,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1385986241;Adapts a {@code Map<K, List<V>>} to an {@code MultiValueMap<K,V>}.__@param map the map_@return the multi-value map;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<K, V>(map)___	};adapts,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,map,return,the,multi,value,map;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,k,v,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1386673232;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K,V>}._@param map the map_@return the multi-value map;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<K, V>(map)___	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,map,return,the,multi,value,map;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,k,v,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1398721027;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K,V>}._@param map the map_@return the multi-value map;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<K, V>(map)___	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,map,return,the,multi,value,map;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,k,v,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1425639171;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<K, V>(map)___	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,k,v,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1436221591;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<K, V>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,k,v,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1467730834;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1474830340;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1485782330;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1493370460;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1495868221;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1496259743;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1496837955;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1496955179;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1497269532;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1500448076;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1502974979;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1515777832;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1528737477;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map);1530174524;Adapt a {@code Map<K, List<V>>} to an {@code MultiValueMap<K, V>}._@param map the original map_@return the multi-value map_@since 3.1;public static <K, V> MultiValueMap<K, V> toMultiValueMap(Map<K, List<V>> map) {_		return new MultiValueMapAdapter<>(map)__	};adapt,a,code,map,k,list,v,to,an,code,multi,value,map,k,v,param,map,the,original,map,return,the,multi,value,map,since,3,1;public,static,k,v,multi,value,map,k,v,to,multi,value,map,map,k,list,v,map,return,new,multi,value,map,adapter,map
CollectionUtils -> @SuppressWarnings("unchecked") 	@Nullable 	public static <T> T findValueOfType(Collection<?> collection, Class<T> type);1495868221;Find a single value of the given type in the given Collection._@param collection the Collection to search_@param type the type to look for_@return a value of the given type found if there is a clear match,_or {@code null} if none or more than one such value found;@SuppressWarnings("unchecked")_	@Nullable_	public static <T> T findValueOfType(Collection<?> collection, Class<T> type) {_		if (isEmpty(collection)) {_			return null__		}_		T value = null__		for (Object element : collection) {_			if (type == null || type.isInstance(element)) {_				if (value != null) {_					_					return null__				}_				value = (T) element__			}_		}_		return value__	};find,a,single,value,of,the,given,type,in,the,given,collection,param,collection,the,collection,to,search,param,type,the,type,to,look,for,return,a,value,of,the,given,type,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;suppress,warnings,unchecked,nullable,public,static,t,t,find,value,of,type,collection,collection,class,t,type,if,is,empty,collection,return,null,t,value,null,for,object,element,collection,if,type,null,type,is,instance,element,if,value,null,return,null,value,t,element,return,value
CollectionUtils -> @SuppressWarnings("unchecked") 	@Nullable 	public static <T> T findValueOfType(Collection<?> collection, Class<T> type);1496259743;Find a single value of the given type in the given Collection._@param collection the Collection to search_@param type the type to look for_@return a value of the given type found if there is a clear match,_or {@code null} if none or more than one such value found;@SuppressWarnings("unchecked")_	@Nullable_	public static <T> T findValueOfType(Collection<?> collection, Class<T> type) {_		if (isEmpty(collection)) {_			return null__		}_		T value = null__		for (Object element : collection) {_			if (type == null || type.isInstance(element)) {_				if (value != null) {_					_					return null__				}_				value = (T) element__			}_		}_		return value__	};find,a,single,value,of,the,given,type,in,the,given,collection,param,collection,the,collection,to,search,param,type,the,type,to,look,for,return,a,value,of,the,given,type,found,if,there,is,a,clear,match,or,code,null,if,none,or,more,than,one,such,value,found;suppress,warnings,unchecked,nullable,public,static,t,t,find,value,of,type,collection,collection,class,t,type,if,is,empty,collection,return,null,t,value,null,for,object,element,collection,if,type,null,type,is,instance,element,if,value,null,return,null,value,t,element,return,value
CollectionUtils -> public static <K,V> MultiValueMap<K,V> unmodifiableMultiValueMap(MultiValueMap<? extends K, ? extends V> map);1328020251;Returns an unmodifiable view of the specified multi-value map.__@param  map the map for which an unmodifiable view is to be returned._@return an unmodifiable view of the specified multi-value map.;public static <K,V> MultiValueMap<K,V> unmodifiableMultiValueMap(MultiValueMap<? extends K, ? extends V> map) {_		Assert.notNull(map, "'map' must not be null")__		Map<K, List<V>> result = new LinkedHashMap<K, List<V>>(map.size())__		for (Map.Entry<? extends K, ? extends List<? extends V>> entry : map.entrySet()) {_			List<V> values = Collections.unmodifiableList(entry.getValue())__			result.put(entry.getKey(), values)__		}_		Map<K, List<V>> unmodifiableMap = Collections.unmodifiableMap(result)__		return toMultiValueMap(unmodifiableMap)__	};returns,an,unmodifiable,view,of,the,specified,multi,value,map,param,map,the,map,for,which,an,unmodifiable,view,is,to,be,returned,return,an,unmodifiable,view,of,the,specified,multi,value,map;public,static,k,v,multi,value,map,k,v,unmodifiable,multi,value,map,multi,value,map,extends,k,extends,v,map,assert,not,null,map,map,must,not,be,null,map,k,list,v,result,new,linked,hash,map,k,list,v,map,size,for,map,entry,extends,k,extends,list,extends,v,entry,map,entry,set,list,v,values,collections,unmodifiable,list,entry,get,value,result,put,entry,get,key,values,map,k,list,v,unmodifiable,map,collections,unmodifiable,map,result,return,to,multi,value,map,unmodifiable,map
CollectionUtils -> public static <K,V> MultiValueMap<K,V> unmodifiableMultiValueMap(MultiValueMap<? extends K, ? extends V> map);1356735495;Returns an unmodifiable view of the specified multi-value map.__@param  map the map for which an unmodifiable view is to be returned._@return an unmodifiable view of the specified multi-value map.;public static <K,V> MultiValueMap<K,V> unmodifiableMultiValueMap(MultiValueMap<? extends K, ? extends V> map) {_		Assert.notNull(map, "'map' must not be null")__		Map<K, List<V>> result = new LinkedHashMap<K, List<V>>(map.size())__		for (Map.Entry<? extends K, ? extends List<? extends V>> entry : map.entrySet()) {_			List<V> values = Collections.unmodifiableList(entry.getValue())__			result.put(entry.getKey(), values)__		}_		Map<K, List<V>> unmodifiableMap = Collections.unmodifiableMap(result)__		return toMultiValueMap(unmodifiableMap)__	};returns,an,unmodifiable,view,of,the,specified,multi,value,map,param,map,the,map,for,which,an,unmodifiable,view,is,to,be,returned,return,an,unmodifiable,view,of,the,specified,multi,value,map;public,static,k,v,multi,value,map,k,v,unmodifiable,multi,value,map,multi,value,map,extends,k,extends,v,map,assert,not,null,map,map,must,not,be,null,map,k,list,v,result,new,linked,hash,map,k,list,v,map,size,for,map,entry,extends,k,extends,list,extends,v,entry,map,entry,set,list,v,values,collections,unmodifiable,list,entry,get,value,result,put,entry,get,key,values,map,k,list,v,unmodifiable,map,collections,unmodifiable,map,result,return,to,multi,value,map,unmodifiable,map
CollectionUtils -> public static <K,V> MultiValueMap<K,V> unmodifiableMultiValueMap(MultiValueMap<? extends K, ? extends V> map);1357119239;Returns an unmodifiable view of the specified multi-value map.__@param  map the map for which an unmodifiable view is to be returned._@return an unmodifiable view of the specified multi-value map.;public static <K,V> MultiValueMap<K,V> unmodifiableMultiValueMap(MultiValueMap<? extends K, ? extends V> map) {_		Assert.notNull(map, "'map' must not be null")__		Map<K, List<V>> result = new LinkedHashMap<K, List<V>>(map.size())__		for (Map.Entry<? extends K, ? extends List<? extends V>> entry : map.entrySet()) {_			List<V> values = Collections.unmodifiableList(entry.getValue())__			result.put(entry.getKey(), values)__		}_		Map<K, List<V>> unmodifiableMap = Collections.unmodifiableMap(result)__		return toMultiValueMap(unmodifiableMap)__	};returns,an,unmodifiable,view,of,the,specified,multi,value,map,param,map,the,map,for,which,an,unmodifiable,view,is,to,be,returned,return,an,unmodifiable,view,of,the,specified,multi,value,map;public,static,k,v,multi,value,map,k,v,unmodifiable,multi,value,map,multi,value,map,extends,k,extends,v,map,assert,not,null,map,map,must,not,be,null,map,k,list,v,result,new,linked,hash,map,k,list,v,map,size,for,map,entry,extends,k,extends,list,extends,v,entry,map,entry,set,list,v,values,collections,unmodifiable,list,entry,get,value,result,put,entry,get,key,values,map,k,list,v,unmodifiable,map,collections,unmodifiable,map,result,return,to,multi,value,map,unmodifiable,map
CollectionUtils -> public static <K,V> MultiValueMap<K,V> unmodifiableMultiValueMap(MultiValueMap<? extends K, ? extends V> map);1368482696;Returns an unmodifiable view of the specified multi-value map.__@param  map the map for which an unmodifiable view is to be returned._@return an unmodifiable view of the specified multi-value map.;public static <K,V> MultiValueMap<K,V> unmodifiableMultiValueMap(MultiValueMap<? extends K, ? extends V> map) {_		Assert.notNull(map, "'map' must not be null")__		Map<K, List<V>> result = new LinkedHashMap<K, List<V>>(map.size())__		for (Map.Entry<? extends K, ? extends List<? extends V>> entry : map.entrySet()) {_			List<V> values = Collections.unmodifiableList(entry.getValue())__			result.put(entry.getKey(), values)__		}_		Map<K, List<V>> unmodifiableMap = Collections.unmodifiableMap(result)__		return toMultiValueMap(unmodifiableMap)__	};returns,an,unmodifiable,view,of,the,specified,multi,value,map,param,map,the,map,for,which,an,unmodifiable,view,is,to,be,returned,return,an,unmodifiable,view,of,the,specified,multi,value,map;public,static,k,v,multi,value,map,k,v,unmodifiable,multi,value,map,multi,value,map,extends,k,extends,v,map,assert,not,null,map,map,must,not,be,null,map,k,list,v,result,new,linked,hash,map,k,list,v,map,size,for,map,entry,extends,k,extends,list,extends,v,entry,map,entry,set,list,v,values,collections,unmodifiable,list,entry,get,value,result,put,entry,get,key,values,map,k,list,v,unmodifiable,map,collections,unmodifiable,map,result,return,to,multi,value,map,unmodifiable,map
CollectionUtils -> public static <K,V> MultiValueMap<K,V> unmodifiableMultiValueMap(MultiValueMap<? extends K, ? extends V> map);1385412762;Returns an unmodifiable view of the specified multi-value map.__@param  map the map for which an unmodifiable view is to be returned._@return an unmodifiable view of the specified multi-value map.;public static <K,V> MultiValueMap<K,V> unmodifiableMultiValueMap(MultiValueMap<? extends K, ? extends V> map) {_		Assert.notNull(map, "'map' must not be null")__		Map<K, List<V>> result = new LinkedHashMap<K, List<V>>(map.size())__		for (Map.Entry<? extends K, ? extends List<? extends V>> entry : map.entrySet()) {_			List<V> values = Collections.unmodifiableList(entry.getValue())__			result.put(entry.getKey(), values)__		}_		Map<K, List<V>> unmodifiableMap = Collections.unmodifiableMap(result)__		return toMultiValueMap(unmodifiableMap)__	};returns,an,unmodifiable,view,of,the,specified,multi,value,map,param,map,the,map,for,which,an,unmodifiable,view,is,to,be,returned,return,an,unmodifiable,view,of,the,specified,multi,value,map;public,static,k,v,multi,value,map,k,v,unmodifiable,multi,value,map,multi,value,map,extends,k,extends,v,map,assert,not,null,map,map,must,not,be,null,map,k,list,v,result,new,linked,hash,map,k,list,v,map,size,for,map,entry,extends,k,extends,list,extends,v,entry,map,entry,set,list,v,values,collections,unmodifiable,list,entry,get,value,result,put,entry,get,key,values,map,k,list,v,unmodifiable,map,collections,unmodifiable,map,result,return,to,multi,value,map,unmodifiable,map
