# id;timestamp;commentText;codeText;commentWords;codeWords
MethodVisitor -> public void visitAttribute(Attribute attr);1366718246;Visits a non standard attribute of this method.__@param attr_an attribute.;public void visitAttribute(Attribute attr) {_        if (mv != null) {_            mv.visitAttribute(attr)__        }_    };visits,a,non,standard,attribute,of,this,method,param,attr,an,attribute;public,void,visit,attribute,attribute,attr,if,mv,null,mv,visit,attribute,attr
MethodVisitor -> public void visitFrame(       final int type,       final int nLocal,       final Object[] local,       final int nStack,       final Object[] stack);1533573221;Visits the current state of the local variables and operand stack elements. This method must(*)_be called <i>just before</i> any instruction <b>i</b> that follows an unconditional branch_instruction such as GOTO or THROW, that is the target of a jump instruction, or that starts an_exception handler block. The visited types must describe the values of the local variables and_of the operand stack elements <i>just before</i> <b>i</b> is executed.<br>_<br>_(*) this is mandatory only for classes whose version is greater than or equal to {@link_Opcodes#V1_6}. <br>_<br>_The frames of a method must be given either in expanded form, or in compressed form (all frames_must use the same format, i.e. you must not mix expanded and compressed frames within a single_method):__<ul>_<li>In expanded form, all frames must have the F_NEW type._<li>In compressed form, frames are basically "deltas" from the state of the previous frame:_<ul>_<li>{@link Opcodes#F_SAME} representing frame with exactly the same locals as the_previous frame and with the empty stack._<li>{@link Opcodes#F_SAME1} representing frame with exactly the same locals as the_previous frame and with single value on the stack ( <code>nStack</code> is 1 and_<code>stack[0]</code> contains value for the type of the stack item)._<li>{@link Opcodes#F_APPEND} representing frame with current locals are the same as the_locals in the previous frame, except that additional locals are defined (<code>_nLocal</code> is 1, 2 or 3 and <code>local</code> elements contains values_representing added types)._<li>{@link Opcodes#F_CHOP} representing frame with current locals are the same as the_locals in the previous frame, except that the last 1-3 locals are absent and with_the empty stack (<code>nLocals</code> is 1, 2 or 3)._<li>{@link Opcodes#F_FULL} representing complete frame data._</ul>_</ul>__<br>_In both cases the first frame, corresponding to the method's parameters and access flags, is_implicit and must not be visited. Also, it is illegal to visit two or more frames for the same_code location (i.e., at least one instruction must be visited between two calls to visitFrame).__@param type the type of this stack map frame. Must be {@link Opcodes#F_NEW} for expanded_frames, or {@link Opcodes#F_FULL}, {@link Opcodes#F_APPEND}, {@link Opcodes#F_CHOP}, {@link_Opcodes#F_SAME} or {@link Opcodes#F_APPEND}, {@link Opcodes#F_SAME1} for compressed frames._@param nLocal the number of local variables in the visited frame._@param local the local variable types in this frame. This array must not be modified. Primitive_types are represented by {@link Opcodes#TOP}, {@link Opcodes#INTEGER}, {@link_Opcodes#FLOAT}, {@link Opcodes#LONG}, {@link Opcodes#DOUBLE}, {@link Opcodes#NULL} or_{@link Opcodes#UNINITIALIZED_THIS} (long and double are represented by a single element)._Reference types are represented by String objects (representing internal names), and_uninitialized types by Label objects (this label designates the NEW instruction that_created this uninitialized value)._@param nStack the number of operand stack elements in the visited frame._@param stack the operand stack types in this frame. This array must not be modified. Its_content has the same format as the "local" array._@throws IllegalStateException if a frame is visited just after another one, without any_instruction between the two (unless this frame is a Opcodes#F_SAME frame, in which case it_is silently ignored).;public void visitFrame(_      final int type,_      final int nLocal,_      final Object[] local,_      final int nStack,_      final Object[] stack) {_    if (mv != null) {_      mv.visitFrame(type, nLocal, local, nStack, stack)__    }_  };visits,the,current,state,of,the,local,variables,and,operand,stack,elements,this,method,must,be,called,i,just,before,i,any,instruction,b,i,b,that,follows,an,unconditional,branch,instruction,such,as,goto,or,throw,that,is,the,target,of,a,jump,instruction,or,that,starts,an,exception,handler,block,the,visited,types,must,describe,the,values,of,the,local,variables,and,of,the,operand,stack,elements,i,just,before,i,b,i,b,is,executed,br,br,this,is,mandatory,only,for,classes,whose,version,is,greater,than,or,equal,to,link,opcodes,br,br,the,frames,of,a,method,must,be,given,either,in,expanded,form,or,in,compressed,form,all,frames,must,use,the,same,format,i,e,you,must,not,mix,expanded,and,compressed,frames,within,a,single,method,ul,li,in,expanded,form,all,frames,must,have,the,type,li,in,compressed,form,frames,are,basically,deltas,from,the,state,of,the,previous,frame,ul,li,link,opcodes,representing,frame,with,exactly,the,same,locals,as,the,previous,frame,and,with,the,empty,stack,li,link,opcodes,representing,frame,with,exactly,the,same,locals,as,the,previous,frame,and,with,single,value,on,the,stack,code,n,stack,code,is,1,and,code,stack,0,code,contains,value,for,the,type,of,the,stack,item,li,link,opcodes,representing,frame,with,current,locals,are,the,same,as,the,locals,in,the,previous,frame,except,that,additional,locals,are,defined,code,n,local,code,is,1,2,or,3,and,code,local,code,elements,contains,values,representing,added,types,li,link,opcodes,representing,frame,with,current,locals,are,the,same,as,the,locals,in,the,previous,frame,except,that,the,last,1,3,locals,are,absent,and,with,the,empty,stack,code,n,locals,code,is,1,2,or,3,li,link,opcodes,representing,complete,frame,data,ul,ul,br,in,both,cases,the,first,frame,corresponding,to,the,method,s,parameters,and,access,flags,is,implicit,and,must,not,be,visited,also,it,is,illegal,to,visit,two,or,more,frames,for,the,same,code,location,i,e,at,least,one,instruction,must,be,visited,between,two,calls,to,visit,frame,param,type,the,type,of,this,stack,map,frame,must,be,link,opcodes,for,expanded,frames,or,link,opcodes,link,opcodes,link,opcodes,link,opcodes,or,link,opcodes,link,opcodes,for,compressed,frames,param,n,local,the,number,of,local,variables,in,the,visited,frame,param,local,the,local,variable,types,in,this,frame,this,array,must,not,be,modified,primitive,types,are,represented,by,link,opcodes,top,link,opcodes,integer,link,opcodes,float,link,opcodes,long,link,opcodes,double,link,opcodes,null,or,link,opcodes,long,and,double,are,represented,by,a,single,element,reference,types,are,represented,by,string,objects,representing,internal,names,and,uninitialized,types,by,label,objects,this,label,designates,the,new,instruction,that,created,this,uninitialized,value,param,n,stack,the,number,of,operand,stack,elements,in,the,visited,frame,param,stack,the,operand,stack,types,in,this,frame,this,array,must,not,be,modified,its,content,has,the,same,format,as,the,local,array,throws,illegal,state,exception,if,a,frame,is,visited,just,after,another,one,without,any,instruction,between,the,two,unless,this,frame,is,a,opcodes,frame,in,which,case,it,is,silently,ignored;public,void,visit,frame,final,int,type,final,int,n,local,final,object,local,final,int,n,stack,final,object,stack,if,mv,null,mv,visit,frame,type,n,local,local,n,stack,stack
MethodVisitor -> public void visitFrame(       final int type,       final int nLocal,       final Object[] local,       final int nStack,       final Object[] stack);1536664245;Visits the current state of the local variables and operand stack elements. This method must(*)_be called <i>just before</i> any instruction <b>i</b> that follows an unconditional branch_instruction such as GOTO or THROW, that is the target of a jump instruction, or that starts an_exception handler block. The visited types must describe the values of the local variables and_of the operand stack elements <i>just before</i> <b>i</b> is executed.<br>_<br>_(*) this is mandatory only for classes whose version is greater than or equal to {@link_Opcodes#V1_6}. <br>_<br>_The frames of a method must be given either in expanded form, or in compressed form (all frames_must use the same format, i.e. you must not mix expanded and compressed frames within a single_method):__<ul>_<li>In expanded form, all frames must have the F_NEW type._<li>In compressed form, frames are basically "deltas" from the state of the previous frame:_<ul>_<li>{@link Opcodes#F_SAME} representing frame with exactly the same locals as the_previous frame and with the empty stack._<li>{@link Opcodes#F_SAME1} representing frame with exactly the same locals as the_previous frame and with single value on the stack ( <code>nStack</code> is 1 and_<code>stack[0]</code> contains value for the type of the stack item)._<li>{@link Opcodes#F_APPEND} representing frame with current locals are the same as the_locals in the previous frame, except that additional locals are defined (<code>_nLocal</code> is 1, 2 or 3 and <code>local</code> elements contains values_representing added types)._<li>{@link Opcodes#F_CHOP} representing frame with current locals are the same as the_locals in the previous frame, except that the last 1-3 locals are absent and with_the empty stack (<code>nLocals</code> is 1, 2 or 3)._<li>{@link Opcodes#F_FULL} representing complete frame data._</ul>_</ul>__<br>_In both cases the first frame, corresponding to the method's parameters and access flags, is_implicit and must not be visited. Also, it is illegal to visit two or more frames for the same_code location (i.e., at least one instruction must be visited between two calls to visitFrame).__@param type the type of this stack map frame. Must be {@link Opcodes#F_NEW} for expanded_frames, or {@link Opcodes#F_FULL}, {@link Opcodes#F_APPEND}, {@link Opcodes#F_CHOP}, {@link_Opcodes#F_SAME} or {@link Opcodes#F_APPEND}, {@link Opcodes#F_SAME1} for compressed frames._@param nLocal the number of local variables in the visited frame._@param local the local variable types in this frame. This array must not be modified. Primitive_types are represented by {@link Opcodes#TOP}, {@link Opcodes#INTEGER}, {@link_Opcodes#FLOAT}, {@link Opcodes#LONG}, {@link Opcodes#DOUBLE}, {@link Opcodes#NULL} or_{@link Opcodes#UNINITIALIZED_THIS} (long and double are represented by a single element)._Reference types are represented by String objects (representing internal names), and_uninitialized types by Label objects (this label designates the NEW instruction that_created this uninitialized value)._@param nStack the number of operand stack elements in the visited frame._@param stack the operand stack types in this frame. This array must not be modified. Its_content has the same format as the "local" array._@throws IllegalStateException if a frame is visited just after another one, without any_instruction between the two (unless this frame is a Opcodes#F_SAME frame, in which case it_is silently ignored).;public void visitFrame(_      final int type,_      final int nLocal,_      final Object[] local,_      final int nStack,_      final Object[] stack) {_    if (mv != null) {_      mv.visitFrame(type, nLocal, local, nStack, stack)__    }_  };visits,the,current,state,of,the,local,variables,and,operand,stack,elements,this,method,must,be,called,i,just,before,i,any,instruction,b,i,b,that,follows,an,unconditional,branch,instruction,such,as,goto,or,throw,that,is,the,target,of,a,jump,instruction,or,that,starts,an,exception,handler,block,the,visited,types,must,describe,the,values,of,the,local,variables,and,of,the,operand,stack,elements,i,just,before,i,b,i,b,is,executed,br,br,this,is,mandatory,only,for,classes,whose,version,is,greater,than,or,equal,to,link,opcodes,br,br,the,frames,of,a,method,must,be,given,either,in,expanded,form,or,in,compressed,form,all,frames,must,use,the,same,format,i,e,you,must,not,mix,expanded,and,compressed,frames,within,a,single,method,ul,li,in,expanded,form,all,frames,must,have,the,type,li,in,compressed,form,frames,are,basically,deltas,from,the,state,of,the,previous,frame,ul,li,link,opcodes,representing,frame,with,exactly,the,same,locals,as,the,previous,frame,and,with,the,empty,stack,li,link,opcodes,representing,frame,with,exactly,the,same,locals,as,the,previous,frame,and,with,single,value,on,the,stack,code,n,stack,code,is,1,and,code,stack,0,code,contains,value,for,the,type,of,the,stack,item,li,link,opcodes,representing,frame,with,current,locals,are,the,same,as,the,locals,in,the,previous,frame,except,that,additional,locals,are,defined,code,n,local,code,is,1,2,or,3,and,code,local,code,elements,contains,values,representing,added,types,li,link,opcodes,representing,frame,with,current,locals,are,the,same,as,the,locals,in,the,previous,frame,except,that,the,last,1,3,locals,are,absent,and,with,the,empty,stack,code,n,locals,code,is,1,2,or,3,li,link,opcodes,representing,complete,frame,data,ul,ul,br,in,both,cases,the,first,frame,corresponding,to,the,method,s,parameters,and,access,flags,is,implicit,and,must,not,be,visited,also,it,is,illegal,to,visit,two,or,more,frames,for,the,same,code,location,i,e,at,least,one,instruction,must,be,visited,between,two,calls,to,visit,frame,param,type,the,type,of,this,stack,map,frame,must,be,link,opcodes,for,expanded,frames,or,link,opcodes,link,opcodes,link,opcodes,link,opcodes,or,link,opcodes,link,opcodes,for,compressed,frames,param,n,local,the,number,of,local,variables,in,the,visited,frame,param,local,the,local,variable,types,in,this,frame,this,array,must,not,be,modified,primitive,types,are,represented,by,link,opcodes,top,link,opcodes,integer,link,opcodes,float,link,opcodes,long,link,opcodes,double,link,opcodes,null,or,link,opcodes,long,and,double,are,represented,by,a,single,element,reference,types,are,represented,by,string,objects,representing,internal,names,and,uninitialized,types,by,label,objects,this,label,designates,the,new,instruction,that,created,this,uninitialized,value,param,n,stack,the,number,of,operand,stack,elements,in,the,visited,frame,param,stack,the,operand,stack,types,in,this,frame,this,array,must,not,be,modified,its,content,has,the,same,format,as,the,local,array,throws,illegal,state,exception,if,a,frame,is,visited,just,after,another,one,without,any,instruction,between,the,two,unless,this,frame,is,a,opcodes,frame,in,which,case,it,is,silently,ignored;public,void,visit,frame,final,int,type,final,int,n,local,final,object,local,final,int,n,stack,final,object,stack,if,mv,null,mv,visit,frame,type,n,local,local,n,stack,stack
MethodVisitor -> public AnnotationVisitor visitTryCatchAnnotation(       final int typeRef, final TypePath typePath, final String descriptor, final boolean visible);1531241461;Visits an annotation on an exception handler type. This method must be called <i>after</i> the_{@link #visitTryCatchBlock} for the annotated exception handler. It can be called several times_for the same exception handler.__@param typeRef a reference to the annotated type. The sort of this type reference must be_{@link TypeReference#EXCEPTION_PARAMETER}. See {@link TypeReference}._@param typePath the path to the annotated type argument, wildcard bound, array element type, or_static inner type within 'typeRef'. May be <tt>null</tt> if the annotation targets_'typeRef' as a whole._@param descriptor the class descriptor of the annotation class._@param visible <tt>true</tt> if the annotation is visible at runtime._@return a visitor to visit the annotation values, or <tt>null</tt> if this visitor is not_interested in visiting this annotation.;public AnnotationVisitor visitTryCatchAnnotation(_      final int typeRef, final TypePath typePath, final String descriptor, final boolean visible) {_    if (api < Opcodes.ASM5) {_      throw new UnsupportedOperationException(REQUIRES_ASM5)__    }_    if (mv != null) {_      return mv.visitTryCatchAnnotation(typeRef, typePath, descriptor, visible)__    }_    return null__  };visits,an,annotation,on,an,exception,handler,type,this,method,must,be,called,i,after,i,the,link,visit,try,catch,block,for,the,annotated,exception,handler,it,can,be,called,several,times,for,the,same,exception,handler,param,type,ref,a,reference,to,the,annotated,type,the,sort,of,this,type,reference,must,be,link,type,reference,see,link,type,reference,param,type,path,the,path,to,the,annotated,type,argument,wildcard,bound,array,element,type,or,static,inner,type,within,type,ref,may,be,tt,null,tt,if,the,annotation,targets,type,ref,as,a,whole,param,descriptor,the,class,descriptor,of,the,annotation,class,param,visible,tt,true,tt,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,tt,null,tt,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,try,catch,annotation,final,int,type,ref,final,type,path,type,path,final,string,descriptor,final,boolean,visible,if,api,opcodes,asm5,throw,new,unsupported,operation,exception,if,mv,null,return,mv,visit,try,catch,annotation,type,ref,type,path,descriptor,visible,return,null
MethodVisitor -> public AnnotationVisitor visitTryCatchAnnotation(       final int typeRef, final TypePath typePath, final String descriptor, final boolean visible);1533573221;Visits an annotation on an exception handler type. This method must be called <i>after</i> the_{@link #visitTryCatchBlock} for the annotated exception handler. It can be called several times_for the same exception handler.__@param typeRef a reference to the annotated type. The sort of this type reference must be_{@link TypeReference#EXCEPTION_PARAMETER}. See {@link TypeReference}._@param typePath the path to the annotated type argument, wildcard bound, array element type, or_static inner type within 'typeRef'. May be <tt>null</tt> if the annotation targets_'typeRef' as a whole._@param descriptor the class descriptor of the annotation class._@param visible <tt>true</tt> if the annotation is visible at runtime._@return a visitor to visit the annotation values, or <tt>null</tt> if this visitor is not_interested in visiting this annotation.;public AnnotationVisitor visitTryCatchAnnotation(_      final int typeRef, final TypePath typePath, final String descriptor, final boolean visible) {_    if (api < Opcodes.ASM5) {_      throw new UnsupportedOperationException(REQUIRES_ASM5)__    }_    if (mv != null) {_      return mv.visitTryCatchAnnotation(typeRef, typePath, descriptor, visible)__    }_    return null__  };visits,an,annotation,on,an,exception,handler,type,this,method,must,be,called,i,after,i,the,link,visit,try,catch,block,for,the,annotated,exception,handler,it,can,be,called,several,times,for,the,same,exception,handler,param,type,ref,a,reference,to,the,annotated,type,the,sort,of,this,type,reference,must,be,link,type,reference,see,link,type,reference,param,type,path,the,path,to,the,annotated,type,argument,wildcard,bound,array,element,type,or,static,inner,type,within,type,ref,may,be,tt,null,tt,if,the,annotation,targets,type,ref,as,a,whole,param,descriptor,the,class,descriptor,of,the,annotation,class,param,visible,tt,true,tt,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,tt,null,tt,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,try,catch,annotation,final,int,type,ref,final,type,path,type,path,final,string,descriptor,final,boolean,visible,if,api,opcodes,asm5,throw,new,unsupported,operation,exception,if,mv,null,return,mv,visit,try,catch,annotation,type,ref,type,path,descriptor,visible,return,null
MethodVisitor -> public AnnotationVisitor visitTryCatchAnnotation(       final int typeRef, final TypePath typePath, final String descriptor, final boolean visible);1536664245;Visits an annotation on an exception handler type. This method must be called <i>after</i> the_{@link #visitTryCatchBlock} for the annotated exception handler. It can be called several times_for the same exception handler.__@param typeRef a reference to the annotated type. The sort of this type reference must be_{@link TypeReference#EXCEPTION_PARAMETER}. See {@link TypeReference}._@param typePath the path to the annotated type argument, wildcard bound, array element type, or_static inner type within 'typeRef'. May be {@literal null} if the annotation targets_'typeRef' as a whole._@param descriptor the class descriptor of the annotation class._@param visible {@literal true} if the annotation is visible at runtime._@return a visitor to visit the annotation values, or {@literal null} if this visitor is not_interested in visiting this annotation.;public AnnotationVisitor visitTryCatchAnnotation(_      final int typeRef, final TypePath typePath, final String descriptor, final boolean visible) {_    if (api < Opcodes.ASM5) {_      throw new UnsupportedOperationException(REQUIRES_ASM5)__    }_    if (mv != null) {_      return mv.visitTryCatchAnnotation(typeRef, typePath, descriptor, visible)__    }_    return null__  };visits,an,annotation,on,an,exception,handler,type,this,method,must,be,called,i,after,i,the,link,visit,try,catch,block,for,the,annotated,exception,handler,it,can,be,called,several,times,for,the,same,exception,handler,param,type,ref,a,reference,to,the,annotated,type,the,sort,of,this,type,reference,must,be,link,type,reference,see,link,type,reference,param,type,path,the,path,to,the,annotated,type,argument,wildcard,bound,array,element,type,or,static,inner,type,within,type,ref,may,be,literal,null,if,the,annotation,targets,type,ref,as,a,whole,param,descriptor,the,class,descriptor,of,the,annotation,class,param,visible,literal,true,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,literal,null,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,try,catch,annotation,final,int,type,ref,final,type,path,type,path,final,string,descriptor,final,boolean,visible,if,api,opcodes,asm5,throw,new,unsupported,operation,exception,if,mv,null,return,mv,visit,try,catch,annotation,type,ref,type,path,descriptor,visible,return,null
MethodVisitor -> public AnnotationVisitor visitTryCatchAnnotation(       final int typeRef, final TypePath typePath, final String descriptor, final boolean visible);1537204147;Visits an annotation on an exception handler type. This method must be called <i>after</i> the_{@link #visitTryCatchBlock} for the annotated exception handler. It can be called several times_for the same exception handler.__@param typeRef a reference to the annotated type. The sort of this type reference must be_{@link TypeReference#EXCEPTION_PARAMETER}. See {@link TypeReference}._@param typePath the path to the annotated type argument, wildcard bound, array element type, or_static inner type within 'typeRef'. May be {@literal null} if the annotation targets_'typeRef' as a whole._@param descriptor the class descriptor of the annotation class._@param visible {@literal true} if the annotation is visible at runtime._@return a visitor to visit the annotation values, or {@literal null} if this visitor is not_interested in visiting this annotation.;public AnnotationVisitor visitTryCatchAnnotation(_      final int typeRef, final TypePath typePath, final String descriptor, final boolean visible) {_    if (api < Opcodes.ASM5) {_      throw new UnsupportedOperationException(REQUIRES_ASM5)__    }_    if (mv != null) {_      return mv.visitTryCatchAnnotation(typeRef, typePath, descriptor, visible)__    }_    return null__  };visits,an,annotation,on,an,exception,handler,type,this,method,must,be,called,i,after,i,the,link,visit,try,catch,block,for,the,annotated,exception,handler,it,can,be,called,several,times,for,the,same,exception,handler,param,type,ref,a,reference,to,the,annotated,type,the,sort,of,this,type,reference,must,be,link,type,reference,see,link,type,reference,param,type,path,the,path,to,the,annotated,type,argument,wildcard,bound,array,element,type,or,static,inner,type,within,type,ref,may,be,literal,null,if,the,annotation,targets,type,ref,as,a,whole,param,descriptor,the,class,descriptor,of,the,annotation,class,param,visible,literal,true,if,the,annotation,is,visible,at,runtime,return,a,visitor,to,visit,the,annotation,values,or,literal,null,if,this,visitor,is,not,interested,in,visiting,this,annotation;public,annotation,visitor,visit,try,catch,annotation,final,int,type,ref,final,type,path,type,path,final,string,descriptor,final,boolean,visible,if,api,opcodes,asm5,throw,new,unsupported,operation,exception,if,mv,null,return,mv,visit,try,catch,annotation,type,ref,type,path,descriptor,visible,return,null
MethodVisitor -> public void visitVarInsn(int opcode, int var);1366718246;Visits a local variable instruction. A local variable instruction is an_instruction that loads or stores the value of a local variable.__@param opcode_the opcode of the local variable instruction to be visited._This opcode is either ILOAD, LLOAD, FLOAD, DLOAD, ALOAD,_ISTORE, LSTORE, FSTORE, DSTORE, ASTORE or RET._@param var_the operand of the instruction to be visited. This operand is_the index of a local variable.;public void visitVarInsn(int opcode, int var) {_        if (mv != null) {_            mv.visitVarInsn(opcode, var)__        }_    };visits,a,local,variable,instruction,a,local,variable,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,local,variable,param,opcode,the,opcode,of,the,local,variable,instruction,to,be,visited,this,opcode,is,either,iload,lload,fload,dload,aload,istore,lstore,fstore,dstore,astore,or,ret,param,var,the,operand,of,the,instruction,to,be,visited,this,operand,is,the,index,of,a,local,variable;public,void,visit,var,insn,int,opcode,int,var,if,mv,null,mv,visit,var,insn,opcode,var
MethodVisitor -> public void visitVarInsn(int opcode, int var);1367955086;Visits a local variable instruction. A local variable instruction is an_instruction that loads or stores the value of a local variable.__@param opcode_the opcode of the local variable instruction to be visited._This opcode is either ILOAD, LLOAD, FLOAD, DLOAD, ALOAD,_ISTORE, LSTORE, FSTORE, DSTORE, ASTORE or RET._@param var_the operand of the instruction to be visited. This operand is_the index of a local variable.;public void visitVarInsn(int opcode, int var) {_        if (mv != null) {_            mv.visitVarInsn(opcode, var)__        }_    };visits,a,local,variable,instruction,a,local,variable,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,local,variable,param,opcode,the,opcode,of,the,local,variable,instruction,to,be,visited,this,opcode,is,either,iload,lload,fload,dload,aload,istore,lstore,fstore,dstore,astore,or,ret,param,var,the,operand,of,the,instruction,to,be,visited,this,operand,is,the,index,of,a,local,variable;public,void,visit,var,insn,int,opcode,int,var,if,mv,null,mv,visit,var,insn,opcode,var
MethodVisitor -> public void visitVarInsn(int opcode, int var);1395273982;Visits a local variable instruction. A local variable instruction is an_instruction that loads or stores the value of a local variable.__@param opcode_the opcode of the local variable instruction to be visited._This opcode is either ILOAD, LLOAD, FLOAD, DLOAD, ALOAD,_ISTORE, LSTORE, FSTORE, DSTORE, ASTORE or RET._@param var_the operand of the instruction to be visited. This operand is_the index of a local variable.;public void visitVarInsn(int opcode, int var) {_        if (mv != null) {_            mv.visitVarInsn(opcode, var)__        }_    };visits,a,local,variable,instruction,a,local,variable,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,local,variable,param,opcode,the,opcode,of,the,local,variable,instruction,to,be,visited,this,opcode,is,either,iload,lload,fload,dload,aload,istore,lstore,fstore,dstore,astore,or,ret,param,var,the,operand,of,the,instruction,to,be,visited,this,operand,is,the,index,of,a,local,variable;public,void,visit,var,insn,int,opcode,int,var,if,mv,null,mv,visit,var,insn,opcode,var
MethodVisitor -> public void visitVarInsn(int opcode, int var);1397644526;Visits a local variable instruction. A local variable instruction is an_instruction that loads or stores the value of a local variable.__@param opcode_the opcode of the local variable instruction to be visited._This opcode is either ILOAD, LLOAD, FLOAD, DLOAD, ALOAD,_ISTORE, LSTORE, FSTORE, DSTORE, ASTORE or RET._@param var_the operand of the instruction to be visited. This operand is_the index of a local variable.;public void visitVarInsn(int opcode, int var) {_        if (mv != null) {_            mv.visitVarInsn(opcode, var)__        }_    };visits,a,local,variable,instruction,a,local,variable,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,local,variable,param,opcode,the,opcode,of,the,local,variable,instruction,to,be,visited,this,opcode,is,either,iload,lload,fload,dload,aload,istore,lstore,fstore,dstore,astore,or,ret,param,var,the,operand,of,the,instruction,to,be,visited,this,operand,is,the,index,of,a,local,variable;public,void,visit,var,insn,int,opcode,int,var,if,mv,null,mv,visit,var,insn,opcode,var
MethodVisitor -> public void visitVarInsn(int opcode, int var);1483093254;Visits a local variable instruction. A local variable instruction is an_instruction that loads or stores the value of a local variable.__@param opcode_the opcode of the local variable instruction to be visited._This opcode is either ILOAD, LLOAD, FLOAD, DLOAD, ALOAD,_ISTORE, LSTORE, FSTORE, DSTORE, ASTORE or RET._@param var_the operand of the instruction to be visited. This operand is_the index of a local variable.;public void visitVarInsn(int opcode, int var) {_        if (mv != null) {_            mv.visitVarInsn(opcode, var)__        }_    };visits,a,local,variable,instruction,a,local,variable,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,local,variable,param,opcode,the,opcode,of,the,local,variable,instruction,to,be,visited,this,opcode,is,either,iload,lload,fload,dload,aload,istore,lstore,fstore,dstore,astore,or,ret,param,var,the,operand,of,the,instruction,to,be,visited,this,operand,is,the,index,of,a,local,variable;public,void,visit,var,insn,int,opcode,int,var,if,mv,null,mv,visit,var,insn,opcode,var
MethodVisitor -> public void visitVarInsn(int opcode, int var);1505821772;Visits a local variable instruction. A local variable instruction is an_instruction that loads or stores the value of a local variable.__@param opcode_the opcode of the local variable instruction to be visited._This opcode is either ILOAD, LLOAD, FLOAD, DLOAD, ALOAD,_ISTORE, LSTORE, FSTORE, DSTORE, ASTORE or RET._@param var_the operand of the instruction to be visited. This operand is_the index of a local variable.;public void visitVarInsn(int opcode, int var) {_        if (mv != null) {_            mv.visitVarInsn(opcode, var)__        }_    };visits,a,local,variable,instruction,a,local,variable,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,local,variable,param,opcode,the,opcode,of,the,local,variable,instruction,to,be,visited,this,opcode,is,either,iload,lload,fload,dload,aload,istore,lstore,fstore,dstore,astore,or,ret,param,var,the,operand,of,the,instruction,to,be,visited,this,operand,is,the,index,of,a,local,variable;public,void,visit,var,insn,int,opcode,int,var,if,mv,null,mv,visit,var,insn,opcode,var
MethodVisitor -> public void visitFieldInsn(       final int opcode, final String owner, final String name, final String descriptor);1531241461;Visits a field instruction. A field instruction is an instruction that loads or stores the_value of a field of an object.__@param opcode the opcode of the type instruction to be visited. This opcode is either_GETSTATIC, PUTSTATIC, GETFIELD or PUTFIELD._@param owner the internal name of the field's owner class (see {@link Type#getInternalName()})._@param name the field's name._@param descriptor the field's descriptor (see {@link Type}).;public void visitFieldInsn(_      final int opcode, final String owner, final String name, final String descriptor) {_    if (mv != null) {_      mv.visitFieldInsn(opcode, owner, name, descriptor)__    }_  };visits,a,field,instruction,a,field,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,field,of,an,object,param,opcode,the,opcode,of,the,type,instruction,to,be,visited,this,opcode,is,either,getstatic,putstatic,getfield,or,putfield,param,owner,the,internal,name,of,the,field,s,owner,class,see,link,type,get,internal,name,param,name,the,field,s,name,param,descriptor,the,field,s,descriptor,see,link,type;public,void,visit,field,insn,final,int,opcode,final,string,owner,final,string,name,final,string,descriptor,if,mv,null,mv,visit,field,insn,opcode,owner,name,descriptor
MethodVisitor -> public void visitFieldInsn(       final int opcode, final String owner, final String name, final String descriptor);1533573221;Visits a field instruction. A field instruction is an instruction that loads or stores the_value of a field of an object.__@param opcode the opcode of the type instruction to be visited. This opcode is either_GETSTATIC, PUTSTATIC, GETFIELD or PUTFIELD._@param owner the internal name of the field's owner class (see {@link Type#getInternalName()})._@param name the field's name._@param descriptor the field's descriptor (see {@link Type}).;public void visitFieldInsn(_      final int opcode, final String owner, final String name, final String descriptor) {_    if (mv != null) {_      mv.visitFieldInsn(opcode, owner, name, descriptor)__    }_  };visits,a,field,instruction,a,field,instruction,is,an,instruction,that,loads,or,stores,the,value,of,a,field,of,an,object,param,opcode,the,opcode,of,the,type,instruction,to,be,visited,this,opcode,is,either,getstatic,putstatic,getfield,or,putfield,param,owner,the,internal,name,of,the,field,s,owner,class,see,link,type,get,internal,name,param,name,the,field,s,name,param,descriptor,the,field,s,descriptor,see,link,type;public,void,visit,field,insn,final,int,opcode,final,string,owner,final,string,name,final,string,descriptor,if,mv,null,mv,visit,field,insn,opcode,owner,name,descriptor
